nr;filnavn;kategori;artikel;url;prompt;alt_tekst;type
31;31-tracking-bekraeftet-paa-skaerm.jpg;Tech;Fulfillment sync, fra plukket ordre til bekræftet forsendelse;https://smartpack.dk/viden/tech/fulfillment-sync.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Færdig pakke på vejen ved siden af en skærm med et grønt markeret flueben i en ordreliste.;Pakke på vægt ved siden af skærm med bekræftet ordre;foto
32;32-genopfyldning-fra-tote-til-hylde.jpg;Tech;Genopfyldning fra tote: sådan finder systemet selv pladsen;https://smartpack.dk/viden/tech/genopfyldning-fra-tote.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Medarbejder tømmer en blå tote over i en plukhylde i øjenhøjde, tom plads til højre i hylden.;Medarbejder fylder varer fra tote op i en plukhylde;foto
33;33-kundeservice-med-lager-i-baggrund.jpg;Tech;Herodesk + SmartPack: kundeservice der styrer lageret;https://smartpack.dk/viden/tech/herodesk-helpdesk-smartpack.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Kundeservicemedarbejder med headset ved en skærm, glasvæg med lagerhal bagved.;Kundeservicemedarbejder med headset foran en lagerhal;foto
34;34-systemer-forbundet-kabelboejle.jpg;Tech;Integrationer forklaret: sådan taler dine systemer sammen;https://smartpack.dk/viden/tech/integrationer-forklaret.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af pæne kabler i en bøjle der løber fra et kontor ud mod lagerhallen.;Kabler der løber fra kontor ud i lagerhallen;diagram
35;35-api-opsaetning-paa-skaerm.jpg;Tech;Lager API-integration: hvad det er, hvornår du har brug for det og hvad det koster;https://smartpack.dk/viden/tech/lager-api-integration.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Udvikler-arbejdsplads ved kanten af et lager, to skærme, den ene med en dataliste, lagerreoler ude af fokus.;Arbejdsplads med to skærme i udkanten af et lager;foto
36;36-automatiseret-lager-transportbaand.jpg;Tech;Lager-automatisering: teknologierne, priserne og hvornår de faktisk giver mening;https://smartpack.dk/viden/tech/lager-automatisering-teknologi.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Langt transportbånd med kasser i bevægelse gennem en moderne lagerhal, ingen mennesker i billedet.;Transportbånd med kasser i en automatiseret lagerhal;foto
37;37-systemvalg-tre-tilbud-paa-bord.jpg;Tech;Valg af lagersoftware: de 7 kriterier der afgør om du vælger rigtigt;https://smartpack.dk/viden/tech/lager-software-valg.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Mødebord med tre udprintede tilbudsmapper og en kop kaffe, lagerhal svagt synlig gennem glasvæg.;Tre tilbudsmapper på et mødebord;foto
38;38-varemodtagelse-med-foelgeseddel.jpg;Tech;Leverandørstyring i WMS: hvad ligger hvor?;https://smartpack.dk/viden/tech/leverandoerstyring.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Medarbejder ved en åben port tjekker en palle af mod en følgeseddel på et clipboard.;Medarbejder tjekker en palle mod en følgeseddel;foto
39;39-haandholdt-terminal-i-haand.jpg;Tech;Mobile scanning og enheder: hvad skal du bruge og hvad koster det?;https://smartpack.dk/viden/tech/mobile-scanning-lager.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af en robust håndholdt lagerterminal i en handske-hånd, reol ude af fokus bagved.;Håndholdt lagerterminal i en handske-hånd;foto
40;40-samme-lager-flere-salgskanaler.jpg;Tech;Multi-channel lager: håndter salg fra webshop, marketplace og B2B i ét system;https://smartpack.dk/viden/tech/multi-channel-lager.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Tre pakker med hver sin forskellige emballagetype på samme rullebane, ingen læsbare mærker.;Tre forskellige pakketyper på samme rullebane;foto
41;41-tom-plukplads-i-reol.jpg;Tech;Når varen ikke står på hylden: hvad plukkeren gør ved det;https://smartpack.dk/viden/tech/naar-varen-ikke-staar-paa-hylden.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Tom plukplads i en ellers fyldt reol, en hånd med terminal holdt op foran den tomme plads.;Tom plukplads i en fyldt reol;foto
42;42-ordre-stoppet-inden-pluk.jpg;Tech;Ordreændringer: hvad kundeservice selv kan klare, og hvad der er for sent;https://smartpack.dk/viden/tech/ordreaendringer-annulleringer.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Pluksedel der bliver taget af en vogn igen, vognen halvt fyldt, medarbejder i bevægelse.;Pluksedel tages af en halvfyldt plukkevogn;foto
43;43-pick-by-light-lys-i-reol.jpg;Tech;Pick-by-light: lysets rolle i fejlfri pluk;https://smartpack.dk/viden/tech/pick-by-light.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Reolfront med små displays hvor ét felt lyser grønt, resten er slukket. Halvmørk lagergang.;Reol med ét lysende pick-by-light-felt;foto
44;44-produktdata-vs-lagerplads.jpg;Tech;PIM vs. WMS: hvad er forskellen og hvornår har du brug for begge?;https://smartpack.dk/viden/tech/pim-vs-wms.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. To skærme ved siden af hinanden på samme bord: den ene med produktbilleder, den anden med en pladsoversigt.;To skærme med produktdata og lagerpladser;foto
45;45-plukliste-paa-terminal.jpg;Tech;Plukprofiler: sådan styrer du hvilke ordrer der bliver plukket hvordan;https://smartpack.dk/viden/tech/plukprofiler.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af en terminalskærm med en kort plukliste, holdt op foran en reolgang.;Terminalskærm med plukliste foran en reolgang;foto
46;46-live-lagertal-paa-skaerm.jpg;Tech;Real-time beholdning: hvorfor forsinket lagerdata koster dig ordrer og penge;https://smartpack.dk/viden/tech/real-time-beholdning.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Væghængt skærm i lagerhallen med et stort tal og en simpel kurve, medarbejder går forbi i uskarphed.;Væghængt skærm med live lagertal;foto
47;47-dashboard-paa-vaegskaerm.jpg;Tech;Realtidstal på lageret: to slags dashboard;https://smartpack.dk/viden/tech/realtid-dashboard.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Stor vægskærm for enden af en lagerhal med fire simple tælleflader, hallen i dybden.;Stor vægskærm for enden af en lagerhal;foto
48;48-rfid-tag-paa-vare.jpg;Tech;RFID på lageret: hvornår giver det mening og hvad koster det?;https://smartpack.dk/viden/tech/rfid-paa-lager.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af et tyndt RFID-mærkat på bagsiden af en vare, en håndlæser ført henover.;RFID-mærkat på en vare med håndlæser;foto
49;49-webshop-ordre-til-lager.jpg;Tech;Shopify integration med WMS: komplet opsætningsguide;https://smartpack.dk/viden/tech/shopify-integration.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Bærbar med en ordreoversigt stående på et pakkebord, pakket kasse og tapepistol ved siden af.;Bærbar med ordreoversigt på et pakkebord;foto
50;50-udvikler-bygger-paa-lager.jpg;Tech;10 vilde ting du kan bygge med SmartPack API;https://smartpack.dk/viden/tech/smartpack-api-muligheder.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Udvikler med bærbar siddende på en palle midt i lagerhallen, kode ude af fokus på skærmen.;Udvikler med bærbar siddende på en palle;foto
51;51-stregkode-scannes-paa-vare.jpg;Tech;Stregkode-scanning på lageret: den billigste fejlreduktion du kan købe;https://smartpack.dk/viden/tech/stregkode-scanning-lager.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af en scanners rode streg hen over en stregkode på en æske.;Stregkode scannes på en æske;foto
52;52-eksport-af-data-til-regneark.jpg;Tech;Træk tal ud af dit WMS: sådan finder du eksporten;https://smartpack.dk/viden/tech/traek-tal-ud-af-dit-wms.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Skærm med en tabel og en åben eksportknap, kop kaffe og notesblok ved siden af, lager bagved.;Skærm med datatabel og eksportknap;foto
53;53-fejlet-ordre-paa-skaerm.jpg;Tech;Typiske integrationsfejl i lagerstyring: og hvordan du undgår dem;https://smartpack.dk/viden/tech/typiske-integrationsfejl.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Skærm med en ordreliste hvor én række er markeret rod, medarbejder læner sig ind for at kigge.;Ordreliste med én række markeret rod;foto
54;54-voice-picking-headset-paa-plukker.jpg;Tech;Voice picking: hvad det er, hvad det koster og hvornår det virker;https://smartpack.dk/viden/tech/voice-picking.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Plukker med let headset og mikrofon der tager en vare fra en hylde, hænderne fri.;Plukker med headset tager en vare fra hylden;foto
55;55-besked-sendt-mellem-systemer.jpg;Tech;Webhooks forklaret: realtidsnotifikationer til dit lagersystem;https://smartpack.dk/viden/tech/webhooks-forklaret.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Nærbillede af to små servere på en reolhylde med et enkelt patchkabel imellem.;To små servere forbundet med et patchkabel;diagram
56;56-to-systemer-samme-bord.jpg;Tech;WMS og ERP integration: sådan får du de to systemer til at tale sammen;https://smartpack.dk/viden/tech/wms-erp-integration.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Mødebord med to bærbare åbnet mod hinanden, lagerhal gennem glasvæg bagved.;To bærbare åbnet mod hinanden på et mødebord;foto
57;57-ordre-fra-webshop-paa-lager.jpg;Tech;WMS-integration med webshop: fundamentet for fejlfri ordrebehandling;https://smartpack.dk/viden/tech/wms-integration-webshop.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Printet pluksedel der lige er kørt ud af en printer på lageret, reoler bagved.;Pluksedel på vej ud af en printer på lageret;foto
58;58-lagerhal-og-kontor-side-om-side.jpg;Tech;WMS vs. ERP: hvad er forskellen, og hvornår skal du have begge?;https://smartpack.dk/viden/tech/wms-vs-erp.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Bred optagelse hvor lagerhallen fylder venstre halvdel og et lille kontor med skærme højre halvdel.;Lagerhal og kontor side om side;diagram
59;59-regneark-paa-papir-i-lagergang.jpg;Tech;WMS vs. Excel: hvornår er et regneark ikke nok?;https://smartpack.dk/viden/tech/wms-vs-excel.html;Fotorealistisk. Dansk/nordeuropæisk lager i normal størrelse, ikke en amerikansk mega-hal. Dagslys eller neutralt hallys, let afdæmpede farver. Tingene skal se brugte ud, ikke som et showroom. Kamera i øjenhøjde eller let ovenfra. Ingen tekst nogen steder i billedet. Ingen firmanavne, varemærker eller læsbare labels. Ingen genkendelige ansigter, folk ses bagfra, fra siden eller beskåret. Bredformat 16:9. Krollet udprintet regneark på en palle i en lagergang, kuglepenrettelser på arket.;Udprintet regneark med håndskrevne rettelser på en palle;foto
